"Pressure","VMAG","Velocity:0","Velocity:1","Velocity:2","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
-0.0018722,0.14934,-0.14927,0.0042937,0,1,0.274,0.5,0.274,0
-0.0019329,0.14981,-0.14974,0.0043731,0,1,0.275,0.5,0.275,0
-0.0019937,0.15028,-0.1502,0.0044526,0,1,0.276,0.5,0.276,0
-0.0020544,0.15074,-0.15067,0.004532,0,1,0.277,0.5,0.277,0
-0.0021151,0.15121,-0.15113,0.0046115,0,1,0.278,0.5,0.278,0
-0.0021758,0.15168,-0.1516,0.004691,0,1,0.279,0.5,0.279,0
-0.0022366,0.15215,-0.15206,0.0047704,0,1,0.28,0.5,0.28,0
-0.0022973,0.15261,-0.15253,0.0048499,0,1,0.281,0.5,0.281,0
-0.0023614,0.15308,-0.15299,0.0049353,0,1,0.282,0.5,0.282,0
-0.0024267,0.15354,-0.15345,0.0050228,0,1,0.283,0.5,0.283,0
-0.002492,0.154,-0.15391,0.0051103,0,1,0.284,0.5,0.284,0
-0.0025572,0.15447,-0.15437,0.0051977,0,1,0.285,0.5,0.285,0
-0.0026225,0.15493,-0.15483,0.0052852,0,1,0.286,0.5,0.286,0
-0.0026878,0.15539,-0.15529,0.0053726,0,1,0.287,0.5,0.287,0
-0.0027531,0.15586,-0.15575,0.0054601,0,1,0.288,0.5,0.288,0
-0.0028184,0.15632,-0.15621,0.0055476,0,1,0.289,0.5,0.289,0
-0.0028881,0.15678,-0.15666,0.0056429,0,1,0.29,0.5,0.29,0
-0.0029581,0.15723,-0.15712,0.0057388,0,1,0.291,0.5,0.291,0
-0.0030282,0.15769,-0.15757,0.0058347,0,1,0.292,0.5,0.292,0
-0.0030982,0.15815,-0.15803,0.0059305,0,1,0.293,0.5,0.293,0
-0.0031683,0.15861,-0.15848,0.0060264,0,1,0.294,0.5,0.294,0
-0.0032383,0.15906,-0.15894,0.0061223,0,1,0.295,0.5,0.295,0
-0.0033084,0.15952,-0.15939,0.0062181,0,1,0.296,0.5,0.296,0
-0.003379,0.15998,-0.15984,0.0063151,0,1,0.297,0.5,0.297,0
-0.003454,0.16043,-0.16029,0.0064198,0,1,0.298,0.5,0.298,0
-0.0035291,0.16088,-0.16074,0.0065244,0,1,0.299,0.5,0.299,0
-0.0036041,0.16133,-0.16119,0.0066291,0,1,0.3,0.5,0.3,0
-0.0036791,0.16178,-0.16163,0.0067338,0,1,0.301,0.5,0.301,0
-0.0037541,0.16224,-0.16208,0.0068384,0,1,0.302,0.5,0.302,0
-0.0038291,0.16269,-0.16253,0.0069431,0,1,0.303,0.5,0.303,0
-0.0039041,0.16314,-0.16297,0.0070478,0,1,0.304,0.5,0.304,0
-0.0039808,0.16359,-0.16342,0.0071553,0,1,0.305,0.5,0.305,0
-0.004061,0.16403,-0.16386,0.0072692,0,1,0.306,0.5,0.306,0
-0.0041412,0.16448,-0.1643,0.007383,0,1,0.307,0.5,0.307,0
-0.0042213,0.16492,-0.16474,0.0074969,0,1,0.308,0.5,0.308,0
-0.0043015,0.16537,-0.16518,0.0076107,0,1,0.309,0.5,0.309,0
-0.0043817,0.16581,-0.16562,0.0077246,0,1,0.31,0.5,0.31,0
-0.0044619,0.16625,-0.16606,0.0078384,0,1,0.311,0.5,0.311,0
-0.0045421,0.1667,-0.1665,0.0079523,0,1,0.312,0.5,0.312,0
-0.004625,0.16714,-0.16693,0.0080709,0,1,0.313,0.5,0.313,0
-0.0047106,0.16758,-0.16736,0.0081943,0,1,0.314,0.5,0.314,0
-0.0047962,0.16801,-0.16779,0.0083177,0,1,0.315,0.5,0.315,0
-0.0048818,0.16845,-0.16822,0.0084411,0,1,0.316,0.5,0.316,0
-0.0049674,0.16889,-0.16866,0.0085645,0,1,0.317,0.5,0.317,0
-0.0050529,0.16932,-0.16909,0.0086879,0,1,0.318,0.5,0.318,0
-0.0051385,0.16976,-0.16952,0.0088113,0,1,0.319,0.5,0.319,0
-0.0052241,0.1702,-0.16995,0.0089347,0,1,0.32,0.5,0.32,0
-0.0053135,0.17063,-0.17037,0.0090649,0,1,0.321,0.5,0.321,0
-0.0054047,0.17105,-0.17079,0.0091982,0,1,0.322,0.5,0.322,0
-0.0054959,0.17148,-0.17121,0.0093315,0,1,0.323,0.5,0.323,0
-0.0055871,0.17191,-0.17163,0.0094648,0,1,0.324,0.5,0.324,0
-0.0056783,0.17234,-0.17205,0.009598,0,1,0.325,0.5,0.325,0
